# Spin-echo spectrometer data file
# Start Time 12:28:4 30/7/2024

# System Status at:  12:28:4 30/7/2024
sample description: Ni(111)
comment:  
nozzle pressure: unused
nozzle temperature: +00.000
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  3.5200E-09
crystal temperature: 29.33
manipulator desired alpha: 75.000000
manipulator desired beta: 2.238400
manipulator desired gamma: 25.328500
specular ga: 25.328482
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.572815
Psourse 7.93378e-05
p303 0.111849
p3053 0.005069
wika1 0.013312
wika2 0.163615
wika3 -0.251417
comp 0.042801
Gas:He3

channeltron voltage: 

# scan_1d(1.000000,-0.050000,0.050000,151,501,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:-0.050000
# max_value:0.050000
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:151
# numloops:501
# count_time:1
# savemode:1
# angular data
# loop number 1
1.760928e-09 -5.000000e-02 -5.000000e-02 -8.608769e-04
1.769681e-09 -4.933333e-02 -4.933333e-02 -8.608769e-04
1.761571e-09 -4.866667e-02 -4.866667e-02 -8.608769e-04
1.761974e-09 -4.800000e-02 -4.800000e-02 -8.608769e-04
1.792170e-09 -4.733333e-02 -4.733333e-02 -8.608769e-04
1.791703e-09 -4.666667e-02 -4.666667e-02 -8.608769e-04
1.777245e-09 -4.600000e-02 -4.600000e-02 -8.608769e-04
1.760821e-09 -4.533333e-02 -4.533333e-02 -8.608769e-04
1.760270e-09 -4.466667e-02 -4.466667e-02 -8.608769e-04
1.755103e-09 -4.400000e-02 -4.400000e-02 -8.608769e-04
1.779385e-09 -4.333333e-02 -4.333333e-02 -8.608769e-04
1.774931e-09 -4.266667e-02 -4.266667e-02 -8.608769e-04
1.783542e-09 -4.200000e-02 -4.200000e-02 -8.608769e-04
1.784637e-09 -4.133333e-02 -4.133333e-02 -8.608769e-04
1.764211e-09 -4.066667e-02 -4.066667e-02 -8.608769e-04
1.765150e-09 -4.000000e-02 -4.000000e-02 -8.608769e-04
1.753641e-09 -3.933333e-02 -3.933333e-02 -8.608769e-04
1.770753e-09 -3.866667e-02 -3.866667e-02 -8.608769e-04
1.755705e-09 -3.800000e-02 -3.800000e-02 -8.608769e-04
1.751307e-09 -3.733333e-02 -3.733333e-02 -8.608769e-04
1.779580e-09 -3.666667e-02 -3.666667e-02 -8.608769e-04
1.753714e-09 -3.600000e-02 -3.600000e-02 -8.608769e-04
1.775336e-09 -3.533333e-02 -3.533333e-02 -8.608769e-04
1.771420e-09 -3.466667e-02 -3.466667e-02 -8.608769e-04
1.777478e-09 -3.400000e-02 -3.400000e-02 -8.608769e-04
1.750989e-09 -3.333333e-02 -3.333333e-02 -8.608769e-04
1.749056e-09 -3.266667e-02 -3.266667e-02 -8.608769e-04
1.766504e-09 -3.200000e-02 -3.200000e-02 -8.608769e-04
1.759408e-09 -3.133333e-02 -3.133333e-02 -8.608769e-04
1.768621e-09 -3.066667e-02 -3.066667e-02 -8.608769e-04
1.769422e-09 -3.000000e-02 -3.000000e-02 -8.608769e-04
1.779591e-09 -2.933333e-02 -2.933333e-02 -8.608769e-04
1.772748e-09 -2.866667e-02 -2.866667e-02 -8.608769e-04
1.754514e-09 -2.800000e-02 -2.800000e-02 -8.608769e-04
1.769305e-09 -2.733333e-02 -2.733333e-02 -8.608769e-04
1.750314e-09 -2.666667e-02 -2.666667e-02 -8.608769e-04
1.758930e-09 -2.600000e-02 -2.600000e-02 -8.608769e-04
1.783539e-09 -2.533333e-02 -2.533333e-02 -8.608769e-04
1.778454e-09 -2.466667e-02 -2.466667e-02 -8.608769e-04
1.781853e-09 -2.400000e-02 -2.400000e-02 -8.608769e-04
1.770450e-09 -2.333333e-02 -2.333333e-02 -8.608769e-04
1.757336e-09 -2.266667e-02 -2.266667e-02 -8.608769e-04
1.743080e-09 -2.200000e-02 -2.200000e-02 -8.608769e-04
1.755447e-09 -2.133333e-02 -2.133333e-02 -8.608769e-04
1.761930e-09 -2.066667e-02 -2.066667e-02 -8.608769e-04
1.784669e-09 -2.000000e-02 -2.000000e-02 -8.608769e-04
1.782335e-09 -1.933333e-02 -1.933333e-02 -8.608769e-04
1.784914e-09 -1.866667e-02 -1.866667e-02 -8.608769e-04
1.773974e-09 -1.800000e-02 -1.800000e-02 -8.608769e-04
1.743556e-09 -1.733333e-02 -1.733333e-02 -8.608769e-04
1.753651e-09 -1.666667e-02 -1.666667e-02 -8.608769e-04
1.765380e-09 -1.600000e-02 -1.600000e-02 -8.608769e-04
1.769345e-09 -1.533333e-02 -1.533333e-02 -8.608769e-04
1.783473e-09 -1.466667e-02 -1.466667e-02 -8.608769e-04
1.800961e-09 -1.400000e-02 -1.400000e-02 -8.608769e-04
1.772692e-09 -1.333333e-02 -1.333333e-02 -8.608769e-04
1.766449e-09 -1.266667e-02 -1.266667e-02 -8.608769e-04
1.753893e-09 -1.200000e-02 -1.200000e-02 -8.608769e-04
1.761620e-09 -1.133333e-02 -1.133333e-02 -8.608769e-04
1.753058e-09 -1.066667e-02 -1.066667e-02 -8.608769e-04
1.756790e-09 -1.000000e-02 -1.000000e-02 -8.608769e-04
1.773501e-09 -9.333333e-03 -9.333333e-03 -8.608769e-04
1.775846e-09 -8.666667e-03 -8.666667e-03 -8.608769e-04
1.779411e-09 -8.000000e-03 -8.000000e-03 -8.608769e-04
1.756188e-09 -7.333333e-03 -7.333333e-03 -8.608769e-04
1.736844e-09 -6.666667e-03 -6.666667e-03 -8.608769e-04
1.753390e-09 -6.000000e-03 -6.000000e-03 -8.608769e-04
1.756641e-09 -5.333333e-03 -5.333333e-03 -8.608769e-04
1.768414e-09 -4.666667e-03 -4.666667e-03 -8.608769e-04
1.768896e-09 -4.000000e-03 -4.000000e-03 -8.608769e-04
1.784109e-09 -3.333333e-03 -3.333333e-03 -8.608769e-04
1.764939e-09 -2.666667e-03 -2.666667e-03 -8.608769e-04
1.763014e-09 -2.000000e-03 -2.000000e-03 -8.608769e-04
1.764260e-09 -1.333333e-03 -1.333333e-03 -8.608769e-04
1.772605e-09 -6.666667e-04 -6.666667e-04 -8.608769e-04
1.779136e-09 0 0 -8.608769e-04
1.770346e-09 6.666667e-04 6.666667e-04 -8.608769e-04
1.754167e-09 1.333333e-03 1.333333e-03 -8.608769e-04
1.778459e-09 2.000000e-03 2.000000e-03 -8.608769e-04
1.776355e-09 2.666667e-03 2.666667e-03 -8.608769e-04
1.757640e-09 3.333333e-03 3.333333e-03 -8.608769e-04
1.766609e-09 4.000000e-03 4.000000e-03 -8.608769e-04
1.766007e-09 4.666667e-03 4.666667e-03 -8.608769e-04
1.771879e-09 5.333333e-03 5.333333e-03 -8.608769e-04
1.775207e-09 6.000000e-03 6.000000e-03 -8.608769e-04
1.769657e-09 6.666667e-03 6.666667e-03 -8.608769e-04
1.772560e-09 7.333333e-03 7.333333e-03 -8.608769e-04
1.762904e-09 8.000000e-03 8.000000e-03 -8.608769e-04
1.767467e-09 8.666667e-03 8.666667e-03 -8.608769e-04
1.747354e-09 9.333333e-03 9.333333e-03 -8.608769e-04
1.753782e-09 1.000000e-02 1.000000e-02 -8.608769e-04
1.750593e-09 1.066667e-02 1.066667e-02 -8.608769e-04
1.755500e-09 1.133333e-02 1.133333e-02 -8.608769e-04
1.757646e-09 1.200000e-02 1.200000e-02 -8.608769e-04
1.775990e-09 1.266667e-02 1.266667e-02 -8.608769e-04
1.773042e-09 1.333333e-02 1.333333e-02 -8.608769e-04
1.784218e-09 1.400000e-02 1.400000e-02 -8.608769e-04
1.772097e-09 1.466667e-02 1.466667e-02 -8.608769e-04
1.754224e-09 1.533333e-02 1.533333e-02 -8.608769e-04
1.742393e-09 1.600000e-02 1.600000e-02 -8.608769e-04
1.740418e-09 1.666667e-02 1.666667e-02 -8.608769e-04
1.774179e-09 1.733333e-02 1.733333e-02 -8.608769e-04
1.772378e-09 1.800000e-02 1.800000e-02 -8.608769e-04
1.772999e-09 1.866667e-02 1.866667e-02 -8.608769e-04
1.776651e-09 1.933333e-02 1.933333e-02 -8.608769e-04
1.778838e-09 2.000000e-02 2.000000e-02 -8.608769e-04
1.757588e-09 2.066667e-02 2.066667e-02 -8.608769e-04
1.743828e-09 2.133333e-02 2.133333e-02 -8.608769e-04
1.747725e-09 2.200000e-02 2.200000e-02 -8.608769e-04
1.752808e-09 2.266667e-02 2.266667e-02 -8.608769e-04
1.765166e-09 2.333333e-02 2.333333e-02 -8.608769e-04
1.762895e-09 2.400000e-02 2.400000e-02 -8.608769e-04
1.780751e-09 2.466667e-02 2.466667e-02 -8.608769e-04
1.782291e-09 2.533333e-02 2.533333e-02 -8.608769e-04
1.765793e-09 2.600000e-02 2.600000e-02 -8.608769e-04
1.764567e-09 2.666667e-02 2.666667e-02 -8.608769e-04
1.732713e-09 2.733333e-02 2.733333e-02 -8.608769e-04
1.744634e-09 2.800000e-02 2.800000e-02 -8.608769e-04
1.744005e-09 2.866667e-02 2.866667e-02 -8.608769e-04
1.754076e-09 2.933333e-02 2.933333e-02 -8.608769e-04
1.772525e-09 3.000000e-02 3.000000e-02 -8.608769e-04
1.769336e-09 3.066667e-02 3.066667e-02 -8.608769e-04
1.768382e-09 3.133333e-02 3.133333e-02 -8.608769e-04
1.757707e-09 3.200000e-02 3.200000e-02 -8.608769e-04
1.770590e-09 3.266667e-02 3.266667e-02 -8.608769e-04
1.757856e-09 3.333333e-02 3.333333e-02 -8.608769e-04
1.769416e-09 3.400000e-02 3.400000e-02 -8.608769e-04
1.756278e-09 3.466667e-02 3.466667e-02 -8.608769e-04
1.754841e-09 3.533333e-02 3.533333e-02 -8.608769e-04
1.765270e-09 3.600000e-02 3.600000e-02 -8.608769e-04
1.768750e-09 3.666667e-02 3.666667e-02 -8.608769e-04
1.760641e-09 3.733333e-02 3.733333e-02 -8.608769e-04
1.757179e-09 3.800000e-02 3.800000e-02 -8.608769e-04
1.760133e-09 3.866667e-02 3.866667e-02 -8.608769e-04
1.766803e-09 3.933333e-02 3.933333e-02 -8.608769e-04
1.769187e-09 4.000000e-02 4.000000e-02 -8.608769e-04
1.758020e-09 4.066667e-02 4.066667e-02 -8.608769e-04
1.769564e-09 4.133333e-02 4.133333e-02 -8.608769e-04
1.760672e-09 4.200000e-02 4.200000e-02 -8.608769e-04
1.745476e-09 4.266667e-02 4.266667e-02 -8.608769e-04
1.765126e-09 4.333333e-02 4.333333e-02 -8.608769e-04
1.755299e-09 4.400000e-02 4.400000e-02 -8.608769e-04
1.783974e-09 4.466667e-02 4.466667e-02 -8.608769e-04
1.773939e-09 4.533333e-02 4.533333e-02 -8.608769e-04
1.774229e-09 4.600000e-02 4.600000e-02 -8.608769e-04
1.768455e-09 4.666667e-02 4.666667e-02 -8.608769e-04
1.760320e-09 4.733333e-02 4.733333e-02 -8.608769e-04
1.767796e-09 4.800000e-02 4.800000e-02 -8.608769e-04
1.762034e-09 4.866667e-02 4.866667e-02 -8.608769e-04
1.745317e-09 4.933333e-02 4.933333e-02 -8.608769e-04
1.756221e-09 5.000000e-02 5.000000e-02 -8.608769e-04
# loop number 2
1.753724e-09 -5.000000e-02 -5.000000e-02 -8.608769e-04
1.758791e-09 -4.933333e-02 -4.933333e-02 -8.608769e-04
1.753504e-09 -4.866667e-02 -4.866667e-02 -8.608769e-04
1.764650e-09 -4.800000e-02 -4.800000e-02 -8.608769e-04
1.768989e-09 -4.733333e-02 -4.733333e-02 -8.608769e-04
1.777836e-09 -4.666667e-02 -4.666667e-02 -8.608769e-04
1.772004e-09 -4.600000e-02 -4.600000e-02 -8.608769e-04
1.758380e-09 -4.533333e-02 -4.533333e-02 -8.608769e-04
1.755682e-09 -4.466667e-02 -4.466667e-02 -8.608769e-04
1.756610e-09 -4.400000e-02 -4.400000e-02 -8.608769e-04
1.768646e-09 -4.333333e-02 -4.333333e-02 -8.608769e-04
1.766480e-09 -4.266667e-02 -4.266667e-02 -8.608769e-04
1.769174e-09 -4.200000e-02 -4.200000e-02 -8.608769e-04
1.769995e-09 -4.133333e-02 -4.133333e-02 -8.608769e-04
1.769350e-09 -4.066667e-02 -4.066667e-02 -8.608769e-04
1.766609e-09 -4.000000e-02 -4.000000e-02 -8.608769e-04
1.753740e-09 -3.933333e-02 -3.933333e-02 -8.608769e-04
1.755168e-09 -3.866667e-02 -3.866667e-02 -8.608769e-04
1.770322e-09 -3.800000e-02 -3.800000e-02 -8.608769e-04
1.763860e-09 -3.733333e-02 -3.733333e-02 -8.608769e-04
1.758325e-09 -3.666667e-02 -3.666667e-02 -8.608769e-04
1.770092e-09 -3.600000e-02 -3.600000e-02 -8.608769e-04
1.759213e-09 -3.533333e-02 -3.533333e-02 -8.608769e-04
1.780463e-09 -3.466667e-02 -3.466667e-02 -8.608769e-04
1.761760e-09 -3.400000e-02 -3.400000e-02 -8.608769e-04
1.749437e-09 -3.333333e-02 -3.333333e-02 -8.608769e-04
1.755018e-09 -3.266667e-02 -3.266667e-02 -8.608769e-04
1.760472e-09 -3.200000e-02 -3.200000e-02 -8.608769e-04
1.750424e-09 -3.133333e-02 -3.133333e-02 -8.608769e-04
1.784464e-09 -3.066667e-02 -3.066667e-02 -8.608769e-04
1.766317e-09 -3.000000e-02 -3.000000e-02 -8.608769e-04
1.765492e-09 -2.933333e-02 -2.933333e-02 -8.608769e-04
1.770032e-09 -2.866667e-02 -2.866667e-02 -8.608769e-04
1.757124e-09 -2.800000e-02 -2.800000e-02 -8.608769e-04
1.755466e-09 -2.733333e-02 -2.733333e-02 -8.608769e-04
1.741857e-09 -2.666667e-02 -2.666667e-02 -8.608769e-04
1.761548e-09 -2.600000e-02 -2.600000e-02 -8.608769e-04
1.769502e-09 -2.533333e-02 -2.533333e-02 -8.608769e-04
1.788879e-09 -2.466667e-02 -2.466667e-02 -8.608769e-04
1.778056e-09 -2.400000e-02 -2.400000e-02 -8.608769e-04
1.775966e-09 -2.333333e-02 -2.333333e-02 -8.608769e-04
1.750701e-09 -2.266667e-02 -2.266667e-02 -8.608769e-04
1.734472e-09 -2.200000e-02 -2.200000e-02 -8.608769e-04
1.749177e-09 -2.133333e-02 -2.133333e-02 -8.608769e-04
1.766514e-09 -2.066667e-02 -2.066667e-02 -8.608769e-04
1.771271e-09 -2.000000e-02 -2.000000e-02 -8.608769e-04
1.776547e-09 -1.933333e-02 -1.933333e-02 -8.608769e-04
1.782481e-09 -1.866667e-02 -1.866667e-02 -8.608769e-04
1.761869e-09 -1.800000e-02 -1.800000e-02 -8.608769e-04
1.742226e-09 -1.733333e-02 -1.733333e-02 -8.608769e-04
1.747728e-09 -1.666667e-02 -1.666667e-02 -8.608769e-04
1.749295e-09 -1.600000e-02 -1.600000e-02 -8.608769e-04
1.761451e-09 -1.533333e-02 -1.533333e-02 -8.608769e-04
1.769590e-09 -1.466667e-02 -1.466667e-02 -8.608769e-04
1.783428e-09 -1.400000e-02 -1.400000e-02 -8.608769e-04
1.775202e-09 -1.333333e-02 -1.333333e-02 -8.608769e-04
1.755047e-09 -1.266667e-02 -1.266667e-02 -8.608769e-04
1.744153e-09 -1.200000e-02 -1.200000e-02 -8.608769e-04
1.760953e-09 -1.133333e-02 -1.133333e-02 -8.608769e-04
1.767871e-09 -1.066667e-02 -1.066667e-02 -8.608769e-04
1.782363e-09 -1.000000e-02 -1.000000e-02 -8.608769e-04
1.759470e-09 -9.333333e-03 -9.333333e-03 -8.608769e-04
