# Spin-echo spectrometer data file
# Start Time 19:24:56 7/8/2024

# System Status at:  19:24:56 7/8/2024
sample description: Ni(111)
comment:  
nozzle pressure: unused
nozzle temperature: +00.000
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  2.7000E-09
crystal temperature: 5.30
manipulator desired alpha: 75.000000
manipulator desired beta: 2.346900
manipulator desired gamma: 25.288100
specular ga: 25.288061
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.60651
Psourse 8.08835e-05
p303 0.109707
p3053 0.005168
wika1 0.009615
wika2 0.167289
wika3 -0.255327
comp 0.042801

Gas:He3

channeltron voltage: 

# scan_1d(1.000000,-0.050000,0.050000,151,50,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:-0.050000
# max_value:0.050000
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:151
# numloops:50
# count_time:1
# savemode:1
# angular data
# loop number 1
1.780551e-09 -5.000000e-02 -5.000000e-02 -8.383655e-04
1.784775e-09 -4.933333e-02 -4.933333e-02 -8.383655e-04
1.765178e-09 -4.866667e-02 -4.866667e-02 -8.383655e-04
1.800422e-09 -4.800000e-02 -4.800000e-02 -8.383655e-04
1.774913e-09 -4.733333e-02 -4.733333e-02 -8.383655e-04
1.788896e-09 -4.666667e-02 -4.666667e-02 -8.383655e-04
1.791901e-09 -4.600000e-02 -4.600000e-02 -8.383655e-04
1.784371e-09 -4.533333e-02 -4.533333e-02 -8.383655e-04
1.790149e-09 -4.466667e-02 -4.466667e-02 -8.383655e-04
1.783319e-09 -4.400000e-02 -4.400000e-02 -8.383655e-04
1.779927e-09 -4.333333e-02 -4.333333e-02 -8.383655e-04
1.782428e-09 -4.266667e-02 -4.266667e-02 -8.383655e-04
1.770764e-09 -4.200000e-02 -4.200000e-02 -8.383655e-04
1.770034e-09 -4.133333e-02 -4.133333e-02 -8.383655e-04
1.788589e-09 -4.066667e-02 -4.066667e-02 -8.383655e-04
1.772574e-09 -4.000000e-02 -4.000000e-02 -8.383655e-04
1.788035e-09 -3.933333e-02 -3.933333e-02 -8.383655e-04
1.780721e-09 -3.866667e-02 -3.866667e-02 -8.383655e-04
1.789905e-09 -3.800000e-02 -3.800000e-02 -8.383655e-04
1.770375e-09 -3.733333e-02 -3.733333e-02 -8.383655e-04
1.769766e-09 -3.666667e-02 -3.666667e-02 -8.383655e-04
1.772243e-09 -3.600000e-02 -3.600000e-02 -8.383655e-04
1.778808e-09 -3.533333e-02 -3.533333e-02 -8.383655e-04
1.788465e-09 -3.466667e-02 -3.466667e-02 -8.383655e-04
1.778387e-09 -3.400000e-02 -3.400000e-02 -8.383655e-04
1.785469e-09 -3.333333e-02 -3.333333e-02 -8.383655e-04
1.772856e-09 -3.266667e-02 -3.266667e-02 -8.383655e-04
1.778147e-09 -3.200000e-02 -3.200000e-02 -8.383655e-04
1.776513e-09 -3.133333e-02 -3.133333e-02 -8.383655e-04
1.780167e-09 -3.066667e-02 -3.066667e-02 -8.383655e-04
1.784464e-09 -3.000000e-02 -3.000000e-02 -8.383655e-04
1.785286e-09 -2.933333e-02 -2.933333e-02 -8.383655e-04
1.779975e-09 -2.866667e-02 -2.866667e-02 -8.383655e-04
1.781313e-09 -2.800000e-02 -2.800000e-02 -8.383655e-04
1.789225e-09 -2.733333e-02 -2.733333e-02 -8.383655e-04
1.779717e-09 -2.666667e-02 -2.666667e-02 -8.383655e-04
1.785541e-09 -2.600000e-02 -2.600000e-02 -8.383655e-04
1.792592e-09 -2.533333e-02 -2.533333e-02 -8.383655e-04
1.778344e-09 -2.466667e-02 -2.466667e-02 -8.383655e-04
1.784622e-09 -2.400000e-02 -2.400000e-02 -8.383655e-04
1.802477e-09 -2.333333e-02 -2.333333e-02 -8.383655e-04
1.773357e-09 -2.266667e-02 -2.266667e-02 -8.383655e-04
1.774418e-09 -2.200000e-02 -2.200000e-02 -8.383655e-04
1.780990e-09 -2.133333e-02 -2.133333e-02 -8.383655e-04
1.792137e-09 -2.066667e-02 -2.066667e-02 -8.383655e-04
1.776937e-09 -2.000000e-02 -2.000000e-02 -8.383655e-04
1.778845e-09 -1.933333e-02 -1.933333e-02 -8.383655e-04
1.781993e-09 -1.866667e-02 -1.866667e-02 -8.383655e-04
1.795811e-09 -1.800000e-02 -1.800000e-02 -8.383655e-04
1.782882e-09 -1.733333e-02 -1.733333e-02 -8.383655e-04
1.771636e-09 -1.666667e-02 -1.666667e-02 -8.383655e-04
1.781814e-09 -1.600000e-02 -1.600000e-02 -8.383655e-04
1.788192e-09 -1.533333e-02 -1.533333e-02 -8.383655e-04
1.790848e-09 -1.466667e-02 -1.466667e-02 -8.383655e-04
1.786058e-09 -1.400000e-02 -1.400000e-02 -8.383655e-04
1.787486e-09 -1.333333e-02 -1.333333e-02 -8.383655e-04
1.790567e-09 -1.266667e-02 -1.266667e-02 -8.383655e-04
