# Spin-echo spectrometer data file
# Start Time 1:38:6 31/7/2024

# System Status at:  1:38:6 31/7/2024
sample description: Ni(111)
comment:  
nozzle pressure: unused
nozzle temperature: +00.000
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  3.0400E-09
crystal temperature: 29.33
manipulator desired alpha: 75.000000
manipulator desired beta: 2.272700
manipulator desired gamma: 14.063400
specular ga: 14.063413
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 1.24672
Psourse 8.08835e-05
p303 0.111849
p3053 0.005168
wika1 0.057682
wika2 0.161166
wika3 -0.196676
comp 0.042801

Gas:He3

channeltron voltage: 

# scan_1d(1.000000,-0.050000,0.050000,151,50,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:-0.050000
# max_value:0.050000
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:151
# numloops:50
# count_time:1
# savemode:1
# angular data
# loop number 1
3.262944e-10 -5.000000e-02 -5.000000e-02 -8.248586e-04
3.247135e-10 -4.933333e-02 -4.933333e-02 -8.248586e-04
3.296778e-10 -4.866667e-02 -4.866667e-02 -8.248586e-04
3.281473e-10 -4.800000e-02 -4.800000e-02 -8.248586e-04
3.267210e-10 -4.733333e-02 -4.733333e-02 -8.248586e-04
3.293199e-10 -4.666667e-02 -4.666667e-02 -8.248586e-04
3.340904e-10 -4.600000e-02 -4.600000e-02 -8.248586e-04
3.275852e-10 -4.533333e-02 -4.533333e-02 -8.248586e-04
3.252594e-10 -4.466667e-02 -4.466667e-02 -8.248586e-04
3.235472e-10 -4.400000e-02 -4.400000e-02 -8.248586e-04
3.272737e-10 -4.333333e-02 -4.333333e-02 -8.248586e-04
3.236337e-10 -4.266667e-02 -4.266667e-02 -8.248586e-04
3.265249e-10 -4.200000e-02 -4.200000e-02 -8.248586e-04
3.270469e-10 -4.133333e-02 -4.133333e-02 -8.248586e-04
3.296478e-10 -4.066667e-02 -4.066667e-02 -8.248586e-04
3.248960e-10 -4.000000e-02 -4.000000e-02 -8.248586e-04
3.292074e-10 -3.933333e-02 -3.933333e-02 -8.248586e-04
3.200796e-10 -3.866667e-02 -3.866667e-02 -8.248586e-04
3.325594e-10 -3.800000e-02 -3.800000e-02 -8.248586e-04
3.301311e-10 -3.733333e-02 -3.733333e-02 -8.248586e-04
3.228102e-10 -3.666667e-02 -3.666667e-02 -8.248586e-04
3.206696e-10 -3.600000e-02 -3.600000e-02 -8.248586e-04
3.265375e-10 -3.533333e-02 -3.533333e-02 -8.248586e-04
3.241049e-10 -3.466667e-02 -3.466667e-02 -8.248586e-04
3.278799e-10 -3.400000e-02 -3.400000e-02 -8.248586e-04
3.264560e-10 -3.333333e-02 -3.333333e-02 -8.248586e-04
3.269950e-10 -3.266667e-02 -3.266667e-02 -8.248586e-04
3.243393e-10 -3.200000e-02 -3.200000e-02 -8.248586e-04
3.227242e-10 -3.133333e-02 -3.133333e-02 -8.248586e-04
3.276960e-10 -3.066667e-02 -3.066667e-02 -8.248586e-04
3.328367e-10 -3.000000e-02 -3.000000e-02 -8.248586e-04
3.370277e-10 -2.933333e-02 -2.933333e-02 -8.248586e-04
3.261820e-10 -2.866667e-02 -2.866667e-02 -8.248586e-04
3.299088e-10 -2.800000e-02 -2.800000e-02 -8.248586e-04
3.191199e-10 -2.733333e-02 -2.733333e-02 -8.248586e-04
3.273247e-10 -2.666667e-02 -2.666667e-02 -8.248586e-04
3.254151e-10 -2.600000e-02 -2.600000e-02 -8.248586e-04
3.292251e-10 -2.533333e-02 -2.533333e-02 -8.248586e-04
3.257953e-10 -2.466667e-02 -2.466667e-02 -8.248586e-04
3.267161e-10 -2.400000e-02 -2.400000e-02 -8.248586e-04
3.268775e-10 -2.333333e-02 -2.333333e-02 -8.248586e-04
3.240657e-10 -2.266667e-02 -2.266667e-02 -8.248586e-04
3.218427e-10 -2.200000e-02 -2.200000e-02 -8.248586e-04
3.251124e-10 -2.133333e-02 -2.133333e-02 -8.248586e-04
3.243180e-10 -2.066667e-02 -2.066667e-02 -8.248586e-04
3.275786e-10 -2.000000e-02 -2.000000e-02 -8.248586e-04
3.239638e-10 -1.933333e-02 -1.933333e-02 -8.248586e-04
3.303071e-10 -1.866667e-02 -1.866667e-02 -8.248586e-04
3.201973e-10 -1.800000e-02 -1.800000e-02 -8.248586e-04
3.201262e-10 -1.733333e-02 -1.733333e-02 -8.248586e-04
3.228569e-10 -1.666667e-02 -1.666667e-02 -8.248586e-04
3.212309e-10 -1.600000e-02 -1.600000e-02 -8.248586e-04
3.208810e-10 -1.533333e-02 -1.533333e-02 -8.248586e-04
3.270318e-10 -1.466667e-02 -1.466667e-02 -8.248586e-04
3.267818e-10 -1.400000e-02 -1.400000e-02 -8.248586e-04
3.291119e-10 -1.333333e-02 -1.333333e-02 -8.248586e-04
3.274278e-10 -1.266667e-02 -1.266667e-02 -8.248586e-04
3.252157e-10 -1.200000e-02 -1.200000e-02 -8.248586e-04
3.190858e-10 -1.133333e-02 -1.133333e-02 -8.248586e-04
3.241707e-10 -1.066667e-02 -1.066667e-02 -8.248586e-04
3.225589e-10 -1.000000e-02 -1.000000e-02 -8.248586e-04
3.290202e-10 -9.333333e-03 -9.333333e-03 -8.248586e-04
3.238969e-10 -8.666667e-03 -8.666667e-03 -8.248586e-04
3.239115e-10 -8.000000e-03 -8.000000e-03 -8.248586e-04
3.203487e-10 -7.333333e-03 -7.333333e-03 -8.248586e-04
3.239726e-10 -6.666667e-03 -6.666667e-03 -8.248586e-04
3.327695e-10 -6.000000e-03 -6.000000e-03 -8.248586e-04
3.274119e-10 -5.333333e-03 -5.333333e-03 -8.248586e-04
3.315064e-10 -4.666667e-03 -4.666667e-03 -8.248586e-04
3.230438e-10 -4.000000e-03 -4.000000e-03 -8.248586e-04
3.308547e-10 -3.333333e-03 -3.333333e-03 -8.248586e-04
3.214797e-10 -2.666667e-03 -2.666667e-03 -8.248586e-04
3.271111e-10 -2.000000e-03 -2.000000e-03 -8.248586e-04
3.232983e-10 -1.333333e-03 -1.333333e-03 -8.248586e-04
