# Spin-echo spectrometer data file
# Start Time 0:1:28 20/8/2024

# System Status at:  0:1:28 20/8/2024
sample description: Ni(111)
comment:  
nozzle pressure: unused
nozzle temperature: +00.000
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  1.8300E-09
crystal temperature: 29.33
manipulator desired alpha: 75.000000
manipulator desired beta: 2.340400
manipulator desired gamma: 25.002400
specular ga: 25.002356
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0
Psourse 3.08219e-05
p303 0.053640
p3053 0.000100
wika1 0.031800
wika2 0.175861
wika3 -0.261193
comp 0.042801
1:Unix
Gas:He3

channeltron voltage: 

# scan_1d(1.000000,-0.050000,0.050000,151,50,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:-0.050000
# max_value:0.050000
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:151
# numloops:50
# count_time:1
# savemode:1
# angular data
# loop number 1
1.043296e-09 -5.000000e-02 -5.000000e-02 -8.473700e-04
1.045163e-09 -4.933333e-02 -4.933333e-02 -8.473700e-04
1.038370e-09 -4.866667e-02 -4.866667e-02 -8.473700e-04
1.038746e-09 -4.800000e-02 -4.800000e-02 -8.473700e-04
1.042821e-09 -4.733333e-02 -4.733333e-02 -8.473700e-04
1.031010e-09 -4.666667e-02 -4.666667e-02 -8.473700e-04
1.041395e-09 -4.600000e-02 -4.600000e-02 -8.473700e-04
1.030767e-09 -4.533333e-02 -4.533333e-02 -8.473700e-04
1.026374e-09 -4.466667e-02 -4.466667e-02 -8.473700e-04
1.051633e-09 -4.400000e-02 -4.400000e-02 -8.473700e-04
1.040746e-09 -4.333333e-02 -4.333333e-02 -8.473700e-04
1.042932e-09 -4.266667e-02 -4.266667e-02 -8.473700e-04
1.031434e-09 -4.200000e-02 -4.200000e-02 -8.473700e-04
1.037910e-09 -4.133333e-02 -4.133333e-02 -8.473700e-04
1.039460e-09 -4.066667e-02 -4.066667e-02 -8.473700e-04
1.039675e-09 -4.000000e-02 -4.000000e-02 -8.473700e-04
1.045517e-09 -3.933333e-02 -3.933333e-02 -8.473700e-04
1.043852e-09 -3.866667e-02 -3.866667e-02 -8.473700e-04
1.043852e-09 -3.800000e-02 -3.800000e-02 -8.473700e-04
1.032459e-09 -3.733333e-02 -3.733333e-02 -8.473700e-04
1.037794e-09 -3.666667e-02 -3.666667e-02 -8.473700e-04
1.032497e-09 -3.600000e-02 -3.600000e-02 -8.473700e-04
1.053251e-09 -3.533333e-02 -3.533333e-02 -8.473700e-04
1.049235e-09 -3.466667e-02 -3.466667e-02 -8.473700e-04
1.045717e-09 -3.400000e-02 -3.400000e-02 -8.473700e-04
