# Spin-echo spectrometer data file
# Start Time 13:2:5 31/7/2024

# System Status at:  13:2:5 31/7/2024
sample description: Ni(111)
comment:  
nozzle pressure: unused
nozzle temperature: +00.000
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  2.9700E-09
crystal temperature: 29.33
manipulator desired alpha: 75.000000
manipulator desired beta: 2.285300
manipulator desired gamma: 25.330000
specular ga: 25.330001
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.60651
Psourse 9.25806e-05
p303 0.123204
p3053 0.006644
wika1 0.017010
wika2 0.169738
wika3 -0.257282
comp 0.042801

Gas:He3

channeltron voltage: 

# scan_1d(1.000000,-0.050000,0.050000,151,61,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:-0.050000
# max_value:0.050000
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:151
# numloops:61
# count_time:1
# savemode:1
# angular data
# loop number 1
1.471612e-09 -5.000000e-02 -5.000000e-02 -8.203564e-04
1.485638e-09 -4.933333e-02 -4.933333e-02 -8.203564e-04
1.459944e-09 -4.866667e-02 -4.866667e-02 -8.203564e-04
1.464905e-09 -4.800000e-02 -4.800000e-02 -8.203564e-04
1.463647e-09 -4.733333e-02 -4.733333e-02 -8.203564e-04
1.473910e-09 -4.666667e-02 -4.666667e-02 -8.203564e-04
1.475000e-09 -4.600000e-02 -4.600000e-02 -8.203564e-04
1.478276e-09 -4.533333e-02 -4.533333e-02 -8.203564e-04
1.483614e-09 -4.466667e-02 -4.466667e-02 -8.203564e-04
1.464699e-09 -4.400000e-02 -4.400000e-02 -8.203564e-04
1.466301e-09 -4.333333e-02 -4.333333e-02 -8.203564e-04
1.464597e-09 -4.266667e-02 -4.266667e-02 -8.203564e-04
1.461527e-09 -4.200000e-02 -4.200000e-02 -8.203564e-04
1.472368e-09 -4.133333e-02 -4.133333e-02 -8.203564e-04
1.481787e-09 -4.066667e-02 -4.066667e-02 -8.203564e-04
1.472187e-09 -4.000000e-02 -4.000000e-02 -8.203564e-04
1.470617e-09 -3.933333e-02 -3.933333e-02 -8.203564e-04
1.474524e-09 -3.866667e-02 -3.866667e-02 -8.203564e-04
1.485042e-09 -3.800000e-02 -3.800000e-02 -8.203564e-04
1.466135e-09 -3.733333e-02 -3.733333e-02 -8.203564e-04
1.476585e-09 -3.666667e-02 -3.666667e-02 -8.203564e-04
1.475508e-09 -3.600000e-02 -3.600000e-02 -8.203564e-04
1.476426e-09 -3.533333e-02 -3.533333e-02 -8.203564e-04
1.470562e-09 -3.466667e-02 -3.466667e-02 -8.203564e-04
1.457830e-09 -3.400000e-02 -3.400000e-02 -8.203564e-04
1.460625e-09 -3.333333e-02 -3.333333e-02 -8.203564e-04
1.466406e-09 -3.266667e-02 -3.266667e-02 -8.203564e-04
1.474613e-09 -3.200000e-02 -3.200000e-02 -8.203564e-04
1.471442e-09 -3.133333e-02 -3.133333e-02 -8.203564e-04
1.474489e-09 -3.066667e-02 -3.066667e-02 -8.203564e-04
1.461585e-09 -3.000000e-02 -3.000000e-02 -8.203564e-04
1.471965e-09 -2.933333e-02 -2.933333e-02 -8.203564e-04
1.459161e-09 -2.866667e-02 -2.866667e-02 -8.203564e-04
1.459989e-09 -2.800000e-02 -2.800000e-02 -8.203564e-04
1.461498e-09 -2.733333e-02 -2.733333e-02 -8.203564e-04
1.465961e-09 -2.666667e-02 -2.666667e-02 -8.203564e-04
1.479111e-09 -2.600000e-02 -2.600000e-02 -8.203564e-04
1.468217e-09 -2.533333e-02 -2.533333e-02 -8.203564e-04
1.470131e-09 -2.466667e-02 -2.466667e-02 -8.203564e-04
1.455506e-09 -2.400000e-02 -2.400000e-02 -8.203564e-04
1.474562e-09 -2.333333e-02 -2.333333e-02 -8.203564e-04
1.465162e-09 -2.266667e-02 -2.266667e-02 -8.203564e-04
1.491264e-09 -2.200000e-02 -2.200000e-02 -8.203564e-04
1.479981e-09 -2.133333e-02 -2.133333e-02 -8.203564e-04
1.466242e-09 -2.066667e-02 -2.066667e-02 -8.203564e-04
